category	variableName	concept_code
obesity_overweight	obesity	E23.6
obesity_overweight	obesity	E.27.8
obesity_overweight	obesity	E66.01
obesity_overweight	obesity	E66.2
obesity_overweight	obesity	E66.09
obesity_overweight	obesity	E66.1
obesity_overweight	obesity	E66.8
obesity_overweight	obesity	E66.9
obesity_overweight	obesity	E68
obesity_overweight	obesity	Z68.3
obesity_overweight	obesity	Z68.30
obesity_overweight	obesity	Z68.31
obesity_overweight	obesity	Z68.32
obesity_overweight	obesity	Z68.33
obesity_overweight	obesity	Z68.34
obesity_overweight	obesity	Z68.35
obesity_overweight	obesity	Z68.36
obesity_overweight	obesity	Z68.37
obesity_overweight	obesity	Z68.38
obesity_overweight	obesity	Z68.39
obesity_overweight	obesity	Z68.4
obesity_overweight	obesity	Z68.41
obesity_overweight	obesity	Z68.42
obesity_overweight	obesity	Z68.43
obesity_overweight	obesity	Z68.44
obesity_overweight	obesity	Z68.45
obesity_overweight	obesity	Z68.5
obesity_overweight	obesity	Z68.54
obesity_overweight	overweight	E66.3
obesity_overweight	overweight	Z68.25
obesity_overweight	overweight	Z68.26
obesity_overweight	overweight	Z68.27
obesity_overweight	overweight	Z68.28
obesity_overweight	overweight	Z68.29
obesity_overweight	overweight	Z68.53
asthma	asthma	J45.909
generalized symptoms	fatigue_asthenia	R53.1
generalized symptoms	fatigue_asthenia	R53.83
generalized symptoms	rash_erythema	R21
generalized symptoms	rash_erythema	L53.9
GI SYMPTOMS	abdominal pain	R10.0
GI SYMPTOMS	abdominal pain	R10.2
GI SYMPTOMS	abdominal pain	R10.9
GI SYMPTOMS	abdominal pain	R10.10
GI SYMPTOMS	abdominal pain	R10.11
GI SYMPTOMS	abdominal pain	R10.12
GI SYMPTOMS	abdominal pain	R10.13
GI SYMPTOMS	abdominal pain	R10.30
GI SYMPTOMS	abdominal pain	R10.31
GI SYMPTOMS	abdominal pain	R10.32
GI SYMPTOMS	abdominal pain	R10.33
GI SYMPTOMS	abdominal pain	R10.83
GI SYMPTOMS	abdominal pain	R10.84
GI SYMPTOMS	nausea_vomiting	R11.0
GI SYMPTOMS	nausea_vomiting	R11.2
GI SYMPTOMS	nausea_vomiting	R11.10
GI SYMPTOMS	nausea_vomiting	R11.11
GI SYMPTOMS	nausea_vomiting	R11.12
GI SYMPTOMS	nausea_vomiting	R11.14
GI SYMPTOMS	nausea_vomiting	R.11.15
GI SYMPTOMS	nausea_vomiting	R11.2
GI SYMPTOMS	diarrhea_enteritis_ileitis	K58.0
GI SYMPTOMS	diarrhea_enteritis_ileitis	K58.9
GI SYMPTOMS	diarrhea_enteritis_ileitis	A04.8
GI SYMPTOMS	diarrhea_enteritis_ileitis	A04.9
GI SYMPTOMS	diarrhea_enteritis_ileitis	A08.4
GI SYMPTOMS	diarrhea_enteritis_ileitis	A09
GI SYMPTOMS	diarrhea_enteritis_ileitis	P78.3
GI SYMPTOMS	diarrhea_enteritis_ileitis	K52.9
GI SYMPTOMS	diarrhea_enteritis_ileitis	K58.9
GI SYMPTOMS	apendicitis_peritonitis	K35.30
GI SYMPTOMS	apendicitis_peritonitis	K35.31
GI SYMPTOMS	apendicitis_peritonitis	K35.33
GI SYMPTOMS	apendicitis_peritonitis	K35.80
GI SYMPTOMS	apendicitis_peritonitis	K36
GI SYMPTOMS	apendicitis_peritonitis	K37
GI SYMPTOMS	apendicitis_peritonitis	K65.9
RESPIRATORY SYMPTOMS	cough	R05.1
RESPIRATORY SYMPTOMS	cough	R05.2
RESPIRATORY SYMPTOMS	cough	R05.3
RESPIRATORY SYMPTOMS	cough	R05.8
RESPIRATORY SYMPTOMS	cough	R05.9
RESPIRATORY SYMPTOMS	cough	J45.991
RESPIRATORY SYMPTOMS	rhinitis rhinorrhea	J31.0
RESPIRATORY SYMPTOMS	sore throat	J31.0
RESPIRATORY SYMPTOMS	sore throat	J02.9
RESPIRATORY SYMPTOMS	conjunctivitis	H10.9
RESPIRATORY SYMPTOMS	tachypnea	R06.82
RESPIRATORY SYMPTOMS	dyspnea_shortness of breath	R06.00
RESPIRATORY SYMPTOMS	dyspnea_shortness of breath	R06.01
RESPIRATORY SYMPTOMS	dyspnea_shortness of breath	R06.02
RESPIRATORY SYMPTOMS	dyspnea_shortness of breath	R06.4
RESPIRATORY SYMPTOMS	dyspnea_shortness of breath	J45.901
RESPIRATORY SYMPTOMS	dyspnea_shortness of breath	J45.902
RESPIRATORY SYMPTOMS	dyspnea_shortness of breath	J45.909
RESPIRATORY SYMPTOMS	respiratory failure	J96.00
RESPIRATORY SYMPTOMS	respiratory failure	J96.01
RESPIRATORY SYMPTOMS	respiratory failure	J96.02
RESPIRATORY SYMPTOMS	respiratory failure	J96.20
RESPIRATORY SYMPTOMS	respiratory failure	J96.21
RESPIRATORY SYMPTOMS	respiratory failure	J96.22
RESPIRATORY SYMPTOMS	respiratory failure	J96.91
RESPIRATORY SYMPTOMS	respiratory failure	J96.92
NEUROLOGIC SYMPTOMS	headache	R51.9
NEUROLOGIC SYMPTOMS	headache	G43.909
NEUROLOGIC SYMPTOMS	headache	G44.009
NEUROLOGIC SYMPTOMS	headache	G44.209
NEUROLOGIC SYMPTOMS	headache	G44.219
NEUROLOGIC SYMPTOMS	headache	G44.53
NEUROLOGIC SYMPTOMS	headache	G44.84
NEUROLOGIC SYMPTOMS	headache	G44.85
NEUROLOGIC SYMPTOMS	headache	G43.909
NEUROLOGIC SYMPTOMS	confusion	R41.0
NEUROLOGIC SYMPTOMS	confusion	F44.89
NEUROLOGIC SYMPTOMS	irritability	R45.4
NEUROLOGIC SYMPTOMS	encephalopathy_meningoencephalitis	G04.30
NEUROLOGIC SYMPTOMS	encephalopathy_meningoencephalitis	G04.31
NEUROLOGIC SYMPTOMS	encephalopathy_meningoencephalitis	G96.9
NEUROLOGIC SYMPTOMS	seizures	R56.9
NEUROLOGIC SYMPTOMS	seizures	G40.909
NEUROLOGIC SYMPTOMS	lethargy	R53.83
NEUROLOGIC SYMPTOMS	stroke	I62.9
NEUROLOGIC SYMPTOMS	stroke	I63.9
NEUROLOGIC SYMPTOMS	coma	R40.20
NEUROLOGIC SYMPTOMS	muscle weakness	R53.1
NEUROLOGIC SYMPTOMS	muscle weakness	M62.81
NEUROLOGIC SYMPTOMS	ataxia	R27.0
CARDIOVASCULAR SYMPTOMS	chest pain	R07.1
CARDIOVASCULAR SYMPTOMS	chest pain	R07.2
CARDIOVASCULAR SYMPTOMS	chest pain	R07.81
CARDIOVASCULAR SYMPTOMS	chest pain	R07.89
CARDIOVASCULAR SYMPTOMS	chest pain	I20.9
CARDIOVASCULAR SYMPTOMS	chest pain	R07.9
CARDIOVASCULAR SYMPTOMS	palpitations	F45.8
CARDIOVASCULAR SYMPTOMS	peripheral edema	R60.0
CARDIOVASCULAR SYMPTOMS	peripheral edema	R60.9
CARDIOVASCULAR SYMPTOMS	peripheral edema	I87.1
CARDIOVASCULAR SYMPTOMS	hypotension	I95.9
CARDIOVASCULAR SYMPTOMS	pre-syncope_syncope	R00.1
CARDIOVASCULAR SYMPTOMS	pre-syncope_syncope	R55
CARDIOVASCULAR SYMPTOMS	pre-syncope_syncope	R05.4
CARDIOVASCULAR SYMPTOMS	ventricular dysfunction	I51.9
CARDIOVASCULAR SYMPTOMS	heart failure	I50.20
CARDIOVASCULAR SYMPTOMS	heart failure	I50.21
CARDIOVASCULAR SYMPTOMS	heart failure	I50.23
CARDIOVASCULAR SYMPTOMS	heart failure	I50.30
CARDIOVASCULAR SYMPTOMS	heart failure	I50.31
CARDIOVASCULAR SYMPTOMS	heart failure	I50.33
CARDIOVASCULAR SYMPTOMS	heart failure	I50.40
CARDIOVASCULAR SYMPTOMS	heart failure	I50.41
CARDIOVASCULAR SYMPTOMS	heart failure	I50.42
CARDIOVASCULAR SYMPTOMS	heart failure	I50.43
CARDIOVASCULAR SYMPTOMS	heart failure	I50.82
CARDIOVASCULAR SYMPTOMS	heart failure	I50.810
CARDIOVASCULAR SYMPTOMS	heart failure	I50.811
CARDIOVASCULAR SYMPTOMS	heart failure	I50.813
CARDIOVASCULAR SYMPTOMS	heart failure	I50.814
CARDIOVASCULAR SYMPTOMS	heart failure	I50.9
CARDIOVASCULAR SYMPTOMS	cardiorespiratory failure	R09.2
CARDIOVASCULAR SYMPTOMS	arrhythmias	I45.89
CARDIOVASCULAR SYMPTOMS	arrhythmias	I45.9
CARDIOVASCULAR SYMPTOMS	arrhythmias	I47.0
CARDIOVASCULAR SYMPTOMS	arrhythmias	I47.1
CARDIOVASCULAR SYMPTOMS	arrhythmias	I47.2
CARDIOVASCULAR SYMPTOMS	arrhythmias	I47.9
CARDIOVASCULAR SYMPTOMS	arrhythmias	I49.5
CARDIOVASCULAR SYMPTOMS	arrhythmias	I49.8
CARDIOVASCULAR SYMPTOMS	arrhythmias	I49.9
Cardiac arrest	cardiac arrest	I46.2
Cardiac arrest	cardiac arrest	I46.9
Cardiac arrest	cardiac arrest	I97.12
Cardiac arrest	cardiac arrest	I97.71
CARDIOVASCULAR SYMPTOMS	pulmonary embolism	I26.99
CARDIOVASCULAR SYMPTOMS	coronary aneurysm	I25.41
CARDIOVASCULAR SYMPTOMS	shock	R57.0
CARDIOVASCULAR SYMPTOMS	shock	R57.1
CARDIOVASCULAR SYMPTOMS	shock	R57.9
CARDIOVASCULAR SYMPTOMS	shock	A41.9
CARDIOVASCULAR SYMPTOMS	shock	A48.3
RENAL INVOLVEMENT	kidney dysfunction	N28.9
RENAL INVOLVEMENT	acute renal failure	N17.0
RENAL INVOLVEMENT	acute renal failure	N17.1
RENAL INVOLVEMENT	acute renal failure	N17.2
RENAL INVOLVEMENT	acute renal failure	N17.9
LIVER INVOLVEMENT	hepatitis or liver dysfunction	B17.9
